id,key,value,type
23417776,name,Jl. Gunung Payung,regular
23417776,oneway,no,regular
23417776,source,GPS,regular
23417776,surface,paved,regular
23417777,created_by,Potlatch 0.9c,regular
23417777,highway,residential,regular
23417777,lanes,1,regular
23417777,surface,unpaved,regular
23417779,highway,unclassified,regular
23417779,lanes,2,regular
23417779,surface,paved,regular
23417780,created_by,Scarabeaus,regular
23417780,highway,unclassified,regular
23417780,lanes,1,regular
23417780,surface,unpaved,regular
23417781,highway,secondary,regular
23417781,lanes,2,regular
23417781,name,Jalan Nusa Dua Selatan,regular
23417781,surface,paved,regular
23417782,highway,residential,regular
23417782,lanes,2,regular
23417782,surface,paved,regular
23417783,highway,residential,regular
23417783,lanes,1,regular
23417783,surface,unpaved,regular
23417784,created_by,Scarabeaus,regular
23417784,highway,unclassified,regular
23417784,lanes,1,regular
23417784,surface,unpaved,regular
23417786,highway,residential,regular
23417786,lanes,2,regular
23417786,surface,paved,regular
23417787,highway,residential,regular
23417787,lanes,2,regular
23417787,surface,paved,regular
23417788,highway,residential,regular
23417788,lanes,2,regular
23417788,surface,paved,regular
23417789,created_by,Scarabeaus,regular
23417789,highway,residential,regular
23417789,lanes,1,regular
23417789,surface,paved,regular
23417790,access,private,regular
23417790,highway,secondary,regular
23417790,lanes,2,regular
23417790,surface,paved,regular
23417791,created_by,Potlatch 0.9c,regular
23417791,highway,residential,regular
23417791,lanes,2,regular
23417791,surface,paved,regular
23417793,created_by,Scarabeaus,regular
23417793,highway,residential,regular
23417793,lanes,1,regular
23417793,surface,paved,regular
23417794,highway,residential,regular
23417794,lanes,2,regular
23417794,surface,paved,regular
23417795,highway,unclassified,regular
23417795,lanes,2,regular
23417795,oneway,yes,regular
23417795,surface,paved,regular
23417796,created_by,Scarabeaus,regular
23417796,highway,residential,regular
23417796,lanes,2,regular
23417796,surface,paved,regular
23417797,highway,unclassified,regular
23417797,lanes,1,regular
23417797,surface,unpaved,regular
23417798,created_by,Potlatch 0.9c,regular
23417798,highway,residential,regular
23417798,lanes,1,regular
23417798,surface,paved,regular
23417799,highway,residential,regular
23417799,surface,paved,regular
23417800,created_by,Scarabeaus,regular
23417800,highway,residential,regular
23417800,lanes,2,regular
23417800,surface,paved,regular
23417801,highway,residential,regular
23417801,surface,unpaved,regular
23417802,created_by,Scarabeaus,regular
23417802,highway,residential,regular
23417802,lanes,2,regular
23417802,surface,paved,regular
23417803,highway,residential,regular
23417803,lanes,2,regular
23417803,surface,paved,regular
23417804,highway,unclassified,regular
23417804,lanes,2,regular
23417804,oneway,yes,regular
23417804,surface,paved,regular
23417805,highway,residential,regular
23417805,lanes,2,regular
23417805,surface,paved,regular
23417806,created_by,Scarabeaus,regular
23417806,highway,residential,regular
23417806,lanes,2,regular
23417806,surface,paved,regular
23417807,highway,residential,regular
23417807,lanes,2,regular
23417807,surface,paved,regular
23417808,highway,residential,regular
23417808,surface,paved,regular
23417809,highway,residential,regular
23417809,lanes,2,regular
23417809,surface,paved,regular
23417810,highway,residential,regular
23417810,lanes,2,regular
23417810,surface,paved,regular
23417811,created_by,Scarabeaus,regular
23417811,highway,residential,regular
23417811,lanes,2,regular
23417811,surface,paved,regular
23417812,highway,service,regular
23417812,lanes,2,regular
23417812,surface,paved,regular
23417813,highway,residential,regular
23417813,lanes,1,regular
23417813,surface,unpaved,regular
23417815,highway,residential,regular
23417815,name,Jalan Nuansa Utama Timur,regular
23417815,source,GPS;survey,regular
23417816,highway,residential,regular
23417816,lanes,2,regular
23417816,surface,paved,regular
23417817,highway,residential,regular
23417817,lanes,1,regular
23417817,name,Jalan Bumi Jimbaran Asri,regular
23417817,oneway,yes,regular
23417817,surface,paved,regular
23417818,created_by,Scarabeaus,regular
23417818,highway,residential,regular
23417818,lanes,1,regular
23417818,surface,paved,regular
23417819,created_by,Scarabeaus,regular
23417819,highway,unclassified,regular
23417819,lanes,1,regular
23417819,surface,unpaved,regular
23417820,highway,residential,regular
23417820,lanes,1,regular
23417820,surface,paved,regular
23417821,highway,residential,regular
23417821,lanes,1,regular
23417821,surface,paved,regular
23417823,created_by,Scarabeaus,regular
23417823,highway,residential,regular
23417823,lanes,1,regular
23417823,surface,paved,regular
23417824,created_by,Potlatch 0.9c,regular
23417824,highway,residential,regular
23417824,lanes,2,regular
23417824,surface,paved,regular
23417825,created_by,Potlatch 0.9c,regular
23417825,highway,residential,regular
23417825,lanes,2,regular
23417825,surface,paved,regular
23417826,created_by,Potlatch 0.9c,regular
23417826,highway,residential,regular
23417826,lanes,1,regular
23417826,surface,paved,regular
23417827,highway,residential,regular
23417827,lanes,2,regular
23417827,surface,paved,regular
23417828,highway,unclassified,regular
23417828,lanes,2,regular
23417828,oneway,no,regular
23417828,surface,paved,regular
23417829,created_by,Scarabeaus,regular
23417829,highway,residential,regular
23417829,lanes,1,regular
23417829,surface,paved,regular
23417831,highway,secondary,regular
23417831,lanes,2,regular
23417831,name,Jl. Pantai Mengiat,regular
23417831,surface,paved,regular
23417833,created_by,Scarabeaus,regular
23417833,highway,unclassified,regular
23417833,lanes,1,regular
23417833,surface,unpaved,regular
23417834,highway,residential,regular
23417834,lanes,1,regular
23417834,surface,paved,regular
23417835,created_by,Scarabeaus,regular
23417835,highway,residential,regular
23417835,lanes,1,regular
23417835,surface,paved,regular
23417836,highway,residential,regular
23417836,lanes,2,regular
23417836,surface,paved,regular
23417837,created_by,Scarabeaus,regular
23417837,highway,unclassified,regular
23417837,lanes,1,regular
23417837,surface,unpaved,regular
23417838,created_by,Potlatch 0.9c,regular
23417838,highway,residential,regular
23417838,lanes,1,regular
23417838,surface,paved,regular
23417840,created_by,Potlatch 0.9c,regular
23417840,highway,residential,regular
23417840,lanes,2,regular
23417840,surface,paved,regular
23417841,highway,residential,regular
23417841,lanes,1,regular
23417841,surface,paved,regular
23417842,created_by,Scarabeaus,regular
23417842,highway,unclassified,regular
23417842,lanes,1,regular
23417842,surface,unpaved,regular
23417843,created_by,Scarabeaus,regular
23417843,highway,residential,regular
23417843,lanes,2,regular
23417843,surface,paved,regular
23417844,highway,residential,regular
23417844,lanes,1,regular
23417844,name,GM Taman,regular
23417844,oneway,-1,regular
23417844,surface,asphalt,regular
23417845,highway,residential,regular
23417845,lanes,2,regular
23417845,surface,paved,regular
23417846,highway,residential,regular
23417846,surface,paved,regular
23417847,created_by,Potlatch 0.9c,regular
23417847,highway,residential,regular
23417847,lanes,2,regular
23417847,surface,paved,regular
23417848,created_by,Potlatch 0.9c,regular
23417848,highway,residential,regular
23417848,lanes,1,regular
23417848,surface,paved,regular
23417849,created_by,Scarabeaus,regular
23417849,highway,unclassified,regular
23417849,lanes,1,regular
23417849,surface,unpaved,regular
23417850,highway,unclassified,regular
23417850,lanes,1,regular
23417850,oneway,-1,regular
23417850,surface,paved,regular
23417851,created_by,Scarabeaus,regular
23417851,highway,residential,regular
23417851,lanes,2,regular
23417851,surface,paved,regular
23417852,created_by,Scarabeaus,regular
23417852,highway,residential,regular
23417852,lanes,1,regular
23417852,surface,paved,regular
23417853,highway,living_street,regular
23417853,lanes,1,regular
23417853,surface,paved,regular
23417854,highway,residential,regular
23417854,lanes,2,regular
23417854,surface,paved,regular
23417855,created_by,Scarabeaus,regular
23417855,highway,residential,regular
23417855,lanes,1,regular
23417855,surface,paved,regular
23417856,highway,tertiary,regular
23417856,lanes,2,regular
23417856,oneway,yes,regular
23417856,surface,paved,regular
23417857,created_by,Scarabeaus,regular
23417857,highway,unclassified,regular
23417857,lanes,2,regular
23417857,surface,paved,regular
23417858,highway,residential,regular
23417858,lanes,1,regular
23417858,surface,paved,regular
23417859,highway,secondary,regular
23417859,lanes,2,regular
23417859,oneway,yes,regular
23417859,surface,paved,regular
23417860,highway,residential,regular
23417860,lanes,1,regular
23417860,surface,paved,regular
23417861,highway,residential,regular
23417861,lanes,2,regular
23417861,surface,paved,regular
23417862,created_by,Scarabeaus,regular
23417862,highway,residential,regular
23417862,lanes,2,regular
23417862,surface,paved,regular
23417863,created_by,Scarabeaus,regular
23417863,highway,residential,regular
23417863,lanes,1,regular
23417863,surface,paved,regular
23417864,highway,residential,regular
23417864,lanes,2,regular
23417864,name,Jl. Nuansa Udayana II,regular
23417864,surface,paved,regular
23417865,highway,unclassified,regular
23417865,lanes,2,regular
23417865,surface,paved,regular
23417866,created_by,Potlatch 0.9c,regular
23417866,highway,residential,regular
23417866,lanes,2,regular
23417866,surface,paved,regular
23417867,highway,unclassified,regular
23417867,lanes,1,regular
23417867,surface,paved,regular
23417868,highway,unclassified,regular
23417868,lanes,1,regular
23417868,surface,unpaved,regular
23417869,created_by,Potlatch 0.9c,regular
23417869,highway,residential,regular
23417869,lanes,2,regular
23417869,surface,paved,regular
23417870,created_by,Potlatch 0.9c,regular
23417870,highway,residential,regular
23417870,lanes,1,regular
23417870,surface,paved,regular
23417871,highway,unclassified,regular
23417871,lanes,1,regular
23417871,surface,paved,regular
23417872,highway,secondary,regular
23417872,junction,roundabout,regular
23417872,lanes,2,regular
23417872,surface,paved,regular
23417873,created_by,Scarabeaus,regular
23417873,highway,residential,regular
23417873,lanes,1,regular
23417873,surface,paved,regular
23417874,created_by,Potlatch 0.9c,regular
23417874,highway,residential,regular
23417874,lanes,2,regular
23417874,surface,paved,regular
23417875,highway,residential,regular
23417875,lanes,1,regular
23417875,name,Jalan Perum Graha Anyar,regular
23417875,surface,paved,regular
23417877,highway,living_street,regular
23417877,lanes,1,regular
23417877,surface,paved,regular
23417878,highway,unclassified,regular
23417878,lanes,1,regular
23417878,surface,unpaved,regular
23417879,highway,residential,regular
23417879,lanes,1,regular
23417879,surface,paved,regular
23417880,highway,residential,regular
23417880,lanes,1,regular
23417880,surface,paved,regular
23417882,highway,service,regular
23417882,lanes,1,regular
23417882,surface,paved,regular
23417883,highway,service,regular
23417883,lanes,1,regular
23417883,surface,paved,regular
23417884,highway,residential,regular
23417885,created_by,Potlatch 0.9c,regular
23417885,highway,residential,regular
23417885,lanes,2,regular
23417885,surface,paved,regular
23417888,created_by,Scarabeaus,regular
23417888,highway,residential,regular
23417888,lanes,2,regular
23417888,surface,paved,regular
23417889,created_by,Scarabeaus,regular
23417889,highway,residential,regular
23417889,lanes,2,regular
23417889,surface,paved,regular
23417890,created_by,Scarabeaus,regular
23417890,highway,unclassified,regular
23417890,lanes,1,regular
23417890,surface,unpaved,regular
23417891,created_by,Scarabeaus,regular
23417891,highway,residential,regular
23417891,lanes,2,regular
23417891,surface,paved,regular
23417892,created_by,Scarabeaus,regular
23417892,highway,residential,regular
23417892,lanes,2,regular
23417892,surface,paved,regular
23417893,highway,residential,regular
23417893,lanes,1,regular
23417893,surface,paved,regular
23417894,highway,residential,regular
23417894,lanes,1,regular
23417894,surface,paved,regular
23417895,created_by,Scarabeaus,regular
23417895,highway,residential,regular
23417895,lanes,2,regular
23417895,surface,paved,regular
23417896,created_by,Scarabeaus,regular
23417896,highway,residential,regular
23417896,lanes,1,regular
23417896,surface,paved,regular
23417897,highway,tertiary,regular
23417897,lanes,2,regular
23417897,oneway,no,regular
23417897,source,GPS,regular
23417897,surface,asphalt,regular
23417900,created_by,Scarabeaus,regular
23417900,highway,unclassified,regular
23417900,lanes,1,regular
23417900,surface,paved,regular
23417901,highway,residential,regular
23417901,lanes,2,regular
23417901,surface,paved,regular
23417902,created_by,Potlatch 0.9c,regular
23417902,highway,residential,regular
23417902,lanes,1,regular
23417902,surface,paved,regular
23417903,highway,residential,regular
23417903,lanes,1,regular
23417903,surface,paved,regular
23417904,highway,secondary,regular
23417904,lanes,4,regular
23417904,surface,paved,regular
23417906,highway,residential,regular
23417906,lanes,2,regular
23417906,surface,paved,regular
23417907,created_by,Scarabeaus,regular
23417907,highway,residential,regular
23417907,lanes,2,regular
23417907,surface,paved,regular
23417908,highway,residential,regular
23417908,lanes,2,regular
23417908,name,Wisma Nusa Permai,regular
23417908,oneway,-1,regular
23417908,surface,paved,regular
23417909,created_by,Potlatch 0.9c,regular
23417909,highway,residential,regular
23417909,lanes,1,regular
23417909,surface,paved,regular
23417910,highway,living_street,regular
23417910,lanes,1,regular
23417910,surface,paved,regular
23417911,created_by,Scarabeaus,regular
23417911,highway,residential,regular
23417911,lanes,2,regular
23417911,surface,paved,regular
23417912,created_by,Potlatch 0.9c,regular
23417912,highway,residential,regular
23417912,lanes,1,regular
23417912,surface,paved,regular
23417913,highway,service,regular
23417913,lanes,1,regular
23417913,surface,paved,regular
23417914,highway,residential,regular
23417914,lanes,2,regular
23417914,surface,paved,regular
23417916,highway,residential,regular
23417916,name,J. Pengeracikan,regular
23417916,oneway,yes,regular
23417916,surface,paved,regular
23417917,highway,residential,regular
23417917,lanes,2,regular
23417917,name,Jl. Nuansa Udayana IX,regular
23417917,oneway,no,regular
23417917,surface,paved,regular
23417918,highway,residential,regular
23417918,lanes,2,regular
23417918,surface,paved,regular
23417920,created_by,Potlatch 0.9c,regular
23417920,highway,residential,regular
23417920,lanes,1,regular
23417920,surface,paved,regular
23417921,highway,residential,regular
23417921,lanes,1,regular
23417921,name,Gang VI,regular
23417921,surface,paved,regular
23417922,highway,unclassified,regular
23417922,lanes,1,regular
23417922,surface,paved,regular
23417923,highway,residential,regular
23417923,lanes,2,regular
23417923,surface,paved,regular
23417924,created_by,Scarabeaus,regular
23417924,highway,residential,regular
23417924,lanes,2,regular
23417924,surface,paved,regular
23417925,created_by,Potlatch 0.9c,regular
23417925,highway,residential,regular
23417925,lanes,1,regular
23417925,surface,paved,regular
23417926,highway,residential,regular
23417926,lanes,1,regular
23417926,surface,paved,regular
23417927,highway,residential,regular
23417927,lanes,1,regular
23417927,surface,paved,regular
23417928,highway,tertiary,regular
23417928,lanes,1,regular
23417928,name,Jalan Goa Gong,regular
23417928,oneway,no,regular
23417928,surface,asphalt,regular
